variant,slot,local,half_local,signed_distance,baseline_distance,actual_delta,best_odd_cycle_len_at_slot,odd_cycle_count_containing_slot,has_odd_triangle
original,2,26,56,3,3,0,3,2898,True
original,2,27,57,3,4,-1,3,2898,True
original,2,28,58,3,4,-1,3,2898,True
original,2,29,59,3,3,0,3,2898,True
original,2,30,0,3,4,-1,3,2898,True
original,2,31,1,3,3,0,3,2898,True
original,2,32,2,2,2,0,3,2898,True
original,2,33,3,3,3,0,3,2898,True
original,2,34,4,3,4,-1,3,2898,True
original,2,35,5,3,6,-3,3,2898,True
original,2,36,6,3,4,-1,3,2898,True
original,2,37,7,2,2,0,3,2898,True
original,2,38,8,2,2,0,3,2898,True
original,2,39,9,3,4,-1,3,2898,True
original,2,40,10,2,2,0,3,2898,True
original,2,41,11,3,3,0,3,2898,True
original,2,42,12,3,4,-1,3,2898,True
original,2,43,13,3,4,-1,3,2898,True
original,2,44,14,3,3,0,3,2898,True
original,2,45,15,2,2,0,3,2898,True
original,2,46,16,3,3,0,3,2898,True
original,2,47,17,3,4,-1,3,2898,True
original,2,48,18,3,4,-1,3,2898,True
original,2,49,19,3,3,0,3,2898,True
original,2,50,20,2,2,0,3,2898,True
original,2,51,21,3,3,0,3,2898,True
original,2,52,22,3,4,-1,3,2898,True
original,2,53,23,3,4,-1,3,2898,True
original,2,54,24,3,3,0,3,2898,True
original,2,55,25,2,2,0,3,2898,True
original,2,56,26,3,3,0,3,2898,True
original,2,57,27,3,4,-1,3,2898,True
original,2,58,28,3,4,-1,3,2898,True
original,2,59,29,3,3,0,3,2898,True
original,3,0,30,3,4,-1,3,2913,True
original,3,1,31,3,3,0,3,2913,True
original,3,2,32,2,2,0,3,2913,True
original,3,3,33,3,3,0,3,2913,True
original,3,4,34,3,4,-1,3,2913,True
original,3,5,35,3,6,-3,3,2913,True
original,3,6,36,3,4,-1,3,2913,True
original,3,7,37,2,2,0,3,2913,True
original,3,8,38,2,2,0,3,2913,True
original,3,9,39,3,4,-1,3,2913,True
original,3,10,40,2,2,0,3,2913,True
original,3,11,41,3,3,0,3,2913,True
original,3,12,42,3,4,-1,3,2913,True
original,3,13,43,3,4,-1,3,2913,True
original,3,14,44,3,3,0,3,2913,True
original,3,15,45,2,2,0,3,2913,True
original,3,16,46,3,3,0,3,2913,True
original,3,17,47,3,4,-1,3,2913,True
original,3,18,48,3,4,-1,3,2913,True
original,3,19,49,3,3,0,3,2913,True
original,3,20,50,2,2,0,3,2913,True
original,3,21,51,3,3,0,3,2913,True
original,3,22,52,3,4,-1,3,2913,True
original,3,23,53,3,4,-1,3,2913,True
original,3,24,54,3,3,0,3,2913,True
original,3,25,55,2,2,0,3,2913,True
original,3,26,56,3,3,0,3,2913,True
original,3,27,57,3,4,-1,3,2913,True
original,3,28,58,3,4,-1,3,2913,True
original,3,29,59,3,3,0,3,2913,True
