name,toggle_edges,toggle_count,odd_triangle_count,odd_triangle_slots,mean_actual_delta,compressed_count,unchanged_count,expanded_count,delta_counts
control_023,"[[0, 1], [1, 6], [4, 5], [6, 13], [10, 11]]",5,6,"[0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14]",-0.44,342,558,0,"{""-3"": 26, ""-2"": 2, ""-1"": 314, ""0"": 558}"
control_024,"[[0, 1], [1, 2], [5, 10], [10, 14], [13, 14]]",5,4,"[0, 2, 3, 4, 5, 8, 10, 13, 14]",-0.32,246,654,0,"{""-3"": 18, ""-2"": 6, ""-1"": 222, ""0"": 654}"
control_025,"[[1, 7], [6, 12], [7, 10], [8, 13], [12, 13]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14]",-0.44,342,558,0,"{""-3"": 26, ""-2"": 2, ""-1"": 314, ""0"": 558}"
control_026,"[[4, 9], [5, 14], [7, 11], [10, 11], [10, 14]]",5,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14]",-0.4088888888888889,318,582,0,"{""-3"": 24, ""-2"": 2, ""-1"": 292, ""0"": 582}"
control_027,"[[0, 4], [0, 5], [2, 7], [3, 4], [4, 9]]",5,4,"[0, 1, 2, 3, 4, 5, 6, 8, 10, 14]",-0.3488888888888889,270,630,0,"{""-3"": 20, ""-2"": 4, ""-1"": 246, ""0"": 630}"
control_028,"[[0, 1], [0, 6], [2, 3], [2, 7], [2, 8]]",5,4,"[0, 1, 2, 3, 4, 5, 6, 8, 10, 14]",-0.3466666666666667,270,630,0,"{""-3"": 20, ""-2"": 2, ""-1"": 248, ""0"": 630}"
control_029,"[[0, 1], [3, 9], [8, 13], [9, 12], [12, 13]]",5,8,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",-0.5,390,510,0,"{""-3"": 30, ""-1"": 360, ""0"": 510}"
control_030,"[[3, 4], [6, 13], [7, 10], [8, 13], [10, 14]]",5,8,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",-0.5,390,510,0,"{""-3"": 30, ""-1"": 360, ""0"": 510}"
control_031,"[[0, 5], [1, 7], [5, 14], [10, 14], [12, 13]]",5,4,"[0, 1, 2, 3, 5, 6, 8, 10, 12, 13, 14]",-0.38,294,606,0,"{""-3"": 22, ""-2"": 4, ""-1"": 268, ""0"": 606}"
control_032,"[[0, 5], [8, 13], [8, 14], [10, 11], [13, 14]]",5,6,"[0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 14]",-0.4088888888888889,318,582,0,"{""-3"": 24, ""-2"": 2, ""-1"": 292, ""0"": 582}"
control_033,"[[0, 1], [0, 5], [1, 2], [2, 3], [5, 14]]",5,0,[],-0.057777777777777775,30,870,0,"{""-2"": 22, ""-1"": 8, ""0"": 870}"
control_034,"[[0, 6], [6, 13], [7, 11], [8, 13], [9, 12]]",5,8,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",-0.5,390,510,0,"{""-3"": 30, ""-1"": 360, ""0"": 510}"
