slot,local,half_local,best_odd_cycle_len_at_slot,internal_g60_half_flip_distance,signed_distance,baseline_distance,actual_delta_signed_minus_baseline,shortcut_delta_best_odd_minus_internal
2,44,14,3,3,3,3,0,0
2,45,15,3,2,2,2,0,1
2,46,16,3,3,3,3,0,0
2,47,17,3,4,3,4,-1,-1
2,48,18,3,4,3,4,-1,-1
2,49,19,3,3,3,3,0,0
2,50,20,3,2,2,2,0,1
2,51,21,3,3,3,3,0,0
2,52,22,3,4,3,4,-1,-1
2,53,23,3,4,3,4,-1,-1
2,54,24,3,3,3,3,0,0
2,55,25,3,2,2,2,0,1
2,56,26,3,3,3,3,0,0
2,57,27,3,4,3,4,-1,-1
2,58,28,3,4,3,4,-1,-1
2,59,29,3,3,3,3,0,0
3,0,30,3,4,3,4,-1,-1
3,1,31,3,3,3,3,0,0
3,2,32,3,2,2,2,0,1
3,3,33,3,3,3,3,0,0
3,4,34,3,4,3,4,-1,-1
3,5,35,3,6,3,6,-3,-3
3,6,36,3,4,3,4,-1,-1
3,7,37,3,2,2,2,0,1
3,8,38,3,2,2,2,0,1
3,9,39,3,4,3,4,-1,-1
3,10,40,3,2,2,2,0,1
3,11,41,3,3,3,3,0,0
3,12,42,3,4,3,4,-1,-1
3,13,43,3,4,3,4,-1,-1
3,14,44,3,3,3,3,0,0
3,15,45,3,2,2,2,0,1
3,16,46,3,3,3,3,0,0
3,17,47,3,4,3,4,-1,-1
3,18,48,3,4,3,4,-1,-1
3,19,49,3,3,3,3,0,0
3,20,50,3,2,2,2,0,1
3,21,51,3,3,3,3,0,0
3,22,52,3,4,3,4,-1,-1
3,23,53,3,4,3,4,-1,-1
3,24,54,3,3,3,3,0,0
3,25,55,3,2,2,2,0,1
3,26,56,3,3,3,3,0,0
3,27,57,3,4,3,4,-1,-1
3,28,58,3,4,3,4,-1,-1
3,29,59,3,3,3,3,0,0
3,30,0,3,4,3,4,-1,-1
3,31,1,3,3,3,3,0,0
3,32,2,3,2,2,2,0,1
3,33,3,3,3,3,3,0,0
3,34,4,3,4,3,4,-1,-1
3,35,5,3,6,3,6,-3,-3
3,36,6,3,4,3,4,-1,-1
3,37,7,3,2,2,2,0,1
3,38,8,3,2,2,2,0,1
3,39,9,3,4,3,4,-1,-1
3,40,10,3,2,2,2,0,1
3,41,11,3,3,3,3,0,0
3,42,12,3,4,3,4,-1,-1
3,43,13,3,4,3,4,-1,-1
3,44,14,3,3,3,3,0,0
3,45,15,3,2,2,2,0,1
3,46,16,3,3,3,3,0,0
3,47,17,3,4,3,4,-1,-1
3,48,18,3,4,3,4,-1,-1
3,49,19,3,3,3,3,0,0
3,50,20,3,2,2,2,0,1
3,51,21,3,3,3,3,0,0
3,52,22,3,4,3,4,-1,-1
3,53,23,3,4,3,4,-1,-1
3,54,24,3,3,3,3,0,0
3,55,25,3,2,2,2,0,1
3,56,26,3,3,3,3,0,0
3,57,27,3,4,3,4,-1,-1
3,58,28,3,4,3,4,-1,-1
3,59,29,3,3,3,3,0,0
4,0,30,3,4,3,4,-1,-1
4,1,31,3,3,3,3,0,0
4,2,32,3,2,2,2,0,1
4,3,33,3,3,3,3,0,0
4,4,34,3,4,3,4,-1,-1
4,5,35,3,6,3,6,-3,-3
4,6,36,3,4,3,4,-1,-1
4,7,37,3,2,2,2,0,1
4,8,38,3,2,2,2,0,1
4,9,39,3,4,3,4,-1,-1
4,10,40,3,2,2,2,0,1
4,11,41,3,3,3,3,0,0
4,12,42,3,4,3,4,-1,-1
4,13,43,3,4,3,4,-1,-1
4,14,44,3,3,3,3,0,0
4,15,45,3,2,2,2,0,1
4,16,46,3,3,3,3,0,0
4,17,47,3,4,3,4,-1,-1
4,18,48,3,4,3,4,-1,-1
4,19,49,3,3,3,3,0,0
4,20,50,3,2,2,2,0,1
4,21,51,3,3,3,3,0,0
4,22,52,3,4,3,4,-1,-1
4,23,53,3,4,3,4,-1,-1
4,24,54,3,3,3,3,0,0
4,25,55,3,2,2,2,0,1
4,26,56,3,3,3,3,0,0
4,27,57,3,4,3,4,-1,-1
4,28,58,3,4,3,4,-1,-1
4,29,59,3,3,3,3,0,0
4,30,0,3,4,3,4,-1,-1
4,31,1,3,3,3,3,0,0
4,32,2,3,2,2,2,0,1
4,33,3,3,3,3,3,0,0
4,34,4,3,4,3,4,-1,-1
4,35,5,3,6,3,6,-3,-3
4,36,6,3,4,3,4,-1,-1
4,37,7,3,2,2,2,0,1
4,38,8,3,2,2,2,0,1
4,39,9,3,4,3,4,-1,-1
4,40,10,3,2,2,2,0,1
4,41,11,3,3,3,3,0,0
4,42,12,3,4,3,4,-1,-1
4,43,13,3,4,3,4,-1,-1
4,44,14,3,3,3,3,0,0
4,45,15,3,2,2,2,0,1
4,46,16,3,3,3,3,0,0
4,47,17,3,4,3,4,-1,-1
4,48,18,3,4,3,4,-1,-1
4,49,19,3,3,3,3,0,0
4,50,20,3,2,2,2,0,1
4,51,21,3,3,3,3,0,0
4,52,22,3,4,3,4,-1,-1
4,53,23,3,4,3,4,-1,-1
4,54,24,3,3,3,3,0,0
