slot,local,half_local,best_odd_cycle_len_at_slot,internal_g60_half_flip_distance,signed_distance,baseline_distance,actual_delta_signed_minus_baseline,shortcut_delta_best_odd_minus_internal
12,8,38,5,2,2,2,0,3
12,9,39,5,4,4,4,0,1
12,10,40,5,2,2,2,0,3
12,11,41,5,3,3,3,0,2
12,12,42,5,4,4,4,0,1
12,13,43,5,4,4,4,0,1
12,14,44,5,3,3,3,0,2
12,15,45,5,2,2,2,0,3
12,16,46,5,3,3,3,0,2
12,17,47,5,4,4,4,0,1
12,18,48,5,4,4,4,0,1
12,19,49,5,3,3,3,0,2
12,20,50,5,2,2,2,0,3
12,21,51,5,3,3,3,0,2
12,22,52,5,4,4,4,0,1
12,23,53,5,4,4,4,0,1
12,24,54,5,3,3,3,0,2
12,25,55,5,2,2,2,0,3
12,26,56,5,3,3,3,0,2
12,27,57,5,4,4,4,0,1
12,28,58,5,4,4,4,0,1
12,29,59,5,3,3,3,0,2
12,30,0,5,4,4,4,0,1
12,31,1,5,3,3,3,0,2
12,32,2,5,2,2,2,0,3
12,33,3,5,3,3,3,0,2
12,34,4,5,4,4,4,0,1
12,35,5,5,6,5,6,-1,-1
12,36,6,5,4,4,4,0,1
12,37,7,5,2,2,2,0,3
12,38,8,5,2,2,2,0,3
12,39,9,5,4,4,4,0,1
12,40,10,5,2,2,2,0,3
12,41,11,5,3,3,3,0,2
12,42,12,5,4,4,4,0,1
12,43,13,5,4,4,4,0,1
12,44,14,5,3,3,3,0,2
12,45,15,5,2,2,2,0,3
12,46,16,5,3,3,3,0,2
12,47,17,5,4,4,4,0,1
12,48,18,5,4,4,4,0,1
12,49,19,5,3,3,3,0,2
12,50,20,5,2,2,2,0,3
12,51,21,5,3,3,3,0,2
12,52,22,5,4,4,4,0,1
12,53,23,5,4,4,4,0,1
12,54,24,5,3,3,3,0,2
12,55,25,5,2,2,2,0,3
12,56,26,5,3,3,3,0,2
12,57,27,5,4,4,4,0,1
12,58,28,5,4,4,4,0,1
12,59,29,5,3,3,3,0,2
13,0,30,5,4,4,4,0,1
13,1,31,5,3,3,3,0,2
13,2,32,5,2,2,2,0,3
13,3,33,5,3,3,3,0,2
13,4,34,5,4,4,4,0,1
13,5,35,5,6,5,6,-1,-1
13,6,36,5,4,4,4,0,1
13,7,37,5,2,2,2,0,3
13,8,38,5,2,2,2,0,3
13,9,39,5,4,4,4,0,1
13,10,40,5,2,2,2,0,3
13,11,41,5,3,3,3,0,2
13,12,42,5,4,4,4,0,1
13,13,43,5,4,4,4,0,1
13,14,44,5,3,3,3,0,2
13,15,45,5,2,2,2,0,3
13,16,46,5,3,3,3,0,2
13,17,47,5,4,4,4,0,1
13,18,48,5,4,4,4,0,1
13,19,49,5,3,3,3,0,2
13,20,50,5,2,2,2,0,3
13,21,51,5,3,3,3,0,2
13,22,52,5,4,4,4,0,1
13,23,53,5,4,4,4,0,1
13,24,54,5,3,3,3,0,2
13,25,55,5,2,2,2,0,3
13,26,56,5,3,3,3,0,2
13,27,57,5,4,4,4,0,1
13,28,58,5,4,4,4,0,1
13,29,59,5,3,3,3,0,2
13,30,0,5,4,4,4,0,1
13,31,1,5,3,3,3,0,2
13,32,2,5,2,2,2,0,3
13,33,3,5,3,3,3,0,2
13,34,4,5,4,4,4,0,1
13,35,5,5,6,5,6,-1,-1
13,36,6,5,4,4,4,0,1
13,37,7,5,2,2,2,0,3
13,38,8,5,2,2,2,0,3
13,39,9,5,4,4,4,0,1
13,40,10,5,2,2,2,0,3
13,41,11,5,3,3,3,0,2
13,42,12,5,4,4,4,0,1
13,43,13,5,4,4,4,0,1
13,44,14,5,3,3,3,0,2
13,45,15,5,2,2,2,0,3
13,46,16,5,3,3,3,0,2
13,47,17,5,4,4,4,0,1
13,48,18,5,4,4,4,0,1
13,49,19,5,3,3,3,0,2
13,50,20,5,2,2,2,0,3
13,51,21,5,3,3,3,0,2
13,52,22,5,4,4,4,0,1
13,53,23,5,4,4,4,0,1
13,54,24,5,3,3,3,0,2
13,55,25,5,2,2,2,0,3
13,56,26,5,3,3,3,0,2
13,57,27,5,4,4,4,0,1
13,58,28,5,4,4,4,0,1
13,59,29,5,3,3,3,0,2
14,0,30,3,4,3,4,-1,-1
14,1,31,3,3,3,3,0,0
14,2,32,3,2,2,2,0,1
14,3,33,3,3,3,3,0,0
14,4,34,3,4,3,4,-1,-1
14,5,35,3,6,3,6,-3,-3
14,6,36,3,4,3,4,-1,-1
14,7,37,3,2,2,2,0,1
14,8,38,3,2,2,2,0,1
14,9,39,3,4,3,4,-1,-1
14,10,40,3,2,2,2,0,1
14,11,41,3,3,3,3,0,0
14,12,42,3,4,3,4,-1,-1
14,13,43,3,4,3,4,-1,-1
14,14,44,3,3,3,3,0,0
14,15,45,3,2,2,2,0,1
14,16,46,3,3,3,3,0,0
14,17,47,3,4,3,4,-1,-1
14,18,48,3,4,3,4,-1,-1
14,19,49,3,3,3,3,0,0
14,20,50,3,2,2,2,0,1
14,21,51,3,3,3,3,0,0
14,22,52,3,4,3,4,-1,-1
14,23,53,3,4,3,4,-1,-1
14,24,54,3,3,3,3,0,0
14,25,55,3,2,2,2,0,1
14,26,56,3,3,3,3,0,0
14,27,57,3,4,3,4,-1,-1
14,28,58,3,4,3,4,-1,-1
14,29,59,3,3,3,3,0,0
14,30,0,3,4,3,4,-1,-1
14,31,1,3,3,3,3,0,0
14,32,2,3,2,2,2,0,1
14,33,3,3,3,3,3,0,0
14,34,4,3,4,3,4,-1,-1
14,35,5,3,6,3,6,-3,-3
14,36,6,3,4,3,4,-1,-1
14,37,7,3,2,2,2,0,1
14,38,8,3,2,2,2,0,1
14,39,9,3,4,3,4,-1,-1
14,40,10,3,2,2,2,0,1
14,41,11,3,3,3,3,0,0
14,42,12,3,4,3,4,-1,-1
14,43,13,3,4,3,4,-1,-1
14,44,14,3,3,3,3,0,0
14,45,15,3,2,2,2,0,1
14,46,16,3,3,3,3,0,0
14,47,17,3,4,3,4,-1,-1
14,48,18,3,4,3,4,-1,-1
14,49,19,3,3,3,3,0,0
14,50,20,3,2,2,2,0,1
14,51,21,3,3,3,3,0,0
14,52,22,3,4,3,4,-1,-1
14,53,23,3,4,3,4,-1,-1
14,54,24,3,3,3,3,0,0
14,55,25,3,2,2,2,0,1
14,56,26,3,3,3,3,0,0
14,57,27,3,4,3,4,-1,-1
14,58,28,3,4,3,4,-1,-1
14,59,29,3,3,3,3,0,0
